
iso	pop	rep	ss	fun	mw	dis
3J16	BL	1	1000	Bz	398.24	65.00
3J16	BL	1	100	Bz	398.24	na
3J16	BL	2	1000	Bz	398.24	65.00
3J16	BL	2	100	Bz	398.24	4.60
3J17	BL	1	1000	Bz	398.24	65.00
3J17	BL	1	100	Bz	398.24	38.20
3J17	BL	2	1000	Bz	398.24	65.00
3J17	BL	2	100	Bz	398.24	44.10
3J18	BL	1	1000	Bz	398.24	65.00
3J18	BL	1	100	Bz	398.24	46.20
3J18	BL	2	1000	Bz	398.24	65.00
3J18	BL	2	100	Bz	398.24	51.70
3J21	BL	1	1000	Bz	398.24	65.00
3J21	BL	1	100	Bz	398.24	31.20
3J21	BL	2	1000	Bz	398.24	65.00
3J21	BL	2	100	Bz	398.24	25.50
3J33	BL	1	1000	Bz	398.24	65.00
3J33	BL	1	100	Bz	398.24	15.00
3J33	BL	2	1000	Bz	398.24	65.00
3J33	BL	2	100	Bz	398.24	15.00
3J24	BL	1	1000	Bz	398.24	65.00
3J24	BL	1	100	Bz	398.24	
3J24	BL	2	1000	Bz	398.24	65.00
3J24	BL	2	100	Bz	398.24	15.00
3J25	BL	1	1000	Bz	398.24	65.00
3J25	BL	1	100	Bz	398.24	15.00
3J25	BL	2	1000	Bz	398.24	65.00
3J25	BL	2	100	Bz	398.24	15.00
3J28	BL	1	1000	Bz	398.24	65.00
3J28	BL	1	100	Bz	398.24	15.00
3J28	BL	2	1000	Bz	398.24	65.00
3J28	BL	2	100	Bz	398.24	15.00
3J29	BL	1	1000	Bz	398.24	65.00
3J29	BL	1	100	Bz	398.24	na
3J29	BL	2	1000	Bz	398.24	65.00
3J29	BL	2	100	Bz	398.24	15.00
3J32	BL	1	1000	Bz	398.24	24.46
3J32	BL	1	100	Bz	398.24	21.20
3J32	BL	2	1000	Bz	398.24	65.00
3J32	BL	2	100	Bz	398.24	15.00
3J36	BL	1	1000	Bz	398.24	65.00
3J36	BL	1	100	Bz	398.24	na
3J36	BL	2	1000	Bz	398.24	65.00
3J36	BL	2	100	Bz	398.24	15.00
3J37	BL	1	1000	Bz	398.24	65.00
3J37	BL	1	100	Bz	398.24	na
3J37	BL	2	1000	Bz	398.24	65.00
3J37	BL	2	100	Bz	398.24	15.00
3J38	BL	1	1000	Bz	398.24	65.00
3J38	BL	2	1000	Bz	398.24	65.00
3J39	BL	1	1000	Bz	398.24	65.00
3J39	BL	1	100	Bz	398.24	24.10
3J39	BL	2	1000	Bz	398.24	65.00
3J39	BL	2	100	Bz	398.24	26.00
